     Elem ID      Node ID      R Coord      T Coord      Z Coord           RR           TT           ZZ           RT           TZ           ZR    Von-Mises
        1521           55   0.0000e+00   0.0000e+00   2.8026e-45  -9.6851e+01   1.5952e+02   1.1634e+02   0.0000e+00   0.0000e+00   1.9751e-04   2.3774e+02
        1521         5324   3.0000e+02   0.0000e+00  -5.0000e+02  -9.6851e+01   1.6838e+02   1.1904e+02   0.0000e+00   0.0000e+00  -6.0414e-05   2.4432e+02
        1522           55   0.0000e+00   0.0000e+00   0.0000e+00  -9.6854e+01   1.5952e+02   1.1633e+02   0.0000e+00   0.0000e+00  -5.1842e-03   2.3774e+02
        1522         5324   3.0000e+02   0.0000e+00  -5.0000e+02  -9.6854e+01   1.6837e+02   1.1903e+02   0.0000e+00   0.0000e+00  -4.9226e-03   2.4432e+02
        4497         4263   1.3901e-42   0.0000e+00   0.0000e+00  -5.1649e+00   1.8594e+02  -8.7683e-01   0.0000e+00   0.0000e+00  -5.3956e-03   1.8900e+02
        4497         4264   4.6931e+02   0.0000e+00  -5.0000e+02  -5.1649e+00   1.9109e+02   7.0027e-01   0.0000e+00   0.0000e+00  -5.2594e-03   1.9338e+02
        4498         4264   5.8776e-39   9.0000e+01   0.0000e+00  -8.8500e+00   1.8950e+02  -8.7934e-01   0.0000e+00   0.0000e+00  -8.3445e-03   1.9449e+02
        4498         4265   4.6052e+02   0.0000e+00  -5.0000e+02  -8.8500e+00   1.9494e+02   7.7696e-01   0.0000e+00   0.0000e+00  -8.2427e-03   1.9915e+02
        4499         4265   0.0000e+00   0.0000e+00   0.0000e+00  -1.2748e+01   1.9327e+02  -8.9369e-01   0.0000e+00   0.0000e+00  -1.0336e-02   2.0036e+02
        4499         4266   4.5173e+02   0.0000e+00  -5.0000e+02  -1.2748e+01   1.9903e+02   8.5262e-01   0.0000e+00   0.0000e+00  -1.0255e-02   2.0531e+02
        4500         4266   0.0000e+00   0.0000e+00   0.0000e+00  -1.6876e+01   1.9726e+02  -9.1707e-01   0.0000e+00   0.0000e+00  -1.1108e-02   2.0662e+02
        4500         4267   4.4295e+02   0.0000e+00  -5.0000e+02  -1.6876e+01   2.0336e+02   9.3088e-01   0.0000e+00   0.0000e+00  -1.1033e-02   2.1189e+02
        4501         4267   0.0000e+00   0.0000e+00   0.0000e+00  -2.1256e+01   2.0148e+02  -9.4662e-01   0.0000e+00   0.0000e+00  -1.0546e-02   2.1331e+02
        4501         4268   4.3416e+02   0.0000e+00  -5.0000e+02  -2.1256e+01   2.0796e+02   1.0155e+00   0.0000e+00   0.0000e+00  -1.0462e-02   2.1893e+02
        4502         4268   0.0000e+00   0.0000e+00   0.0000e+00  -2.5911e+01   2.0596e+02  -9.7946e-01   0.0000e+00   0.0000e+00  -8.6900e-03   2.2047e+02
        4502         4269   4.2537e+02   0.0000e+00  -5.0000e+02  -2.5910e+01   2.1284e+02   1.1104e+00   0.0000e+00   0.0000e+00  -8.5792e-03   2.2646e+02
        4503         4269   0.0000e+00   0.0000e+00   0.0000e+00  -3.0863e+01   2.1072e+02  -1.0127e+00   0.0000e+00   0.0000e+00  -5.7404e-03   2.2813e+02
        4503         4270   4.1658e+02   0.0000e+00  -5.0000e+02  -3.0863e+01   2.1805e+02   1.2196e+00   0.0000e+00   0.0000e+00  -5.5838e-03   2.3452e+02
        4504         4263   0.0000e+00   0.0000e+00   0.0000e+00  -5.1652e+00   1.8594e+02  -8.7721e-01   0.0000e+00   0.0000e+00   4.7839e-03   1.8900e+02
        4504         4264   4.6931e+02   0.0000e+00  -5.0000e+02  -5.1652e+00   1.9108e+02   6.9938e-01   0.0000e+00   0.0000e+00   4.6479e-03   1.9338e+02
        4505         4264   0.0000e+00   0.0000e+00   0.0000e+00  -8.8503e+00   1.8950e+02  -8.8006e-01   0.0000e+00   0.0000e+00   6.4459e-03   1.9449e+02
        4505         4265   4.6052e+02   0.0000e+00  -5.0000e+02  -8.8503e+00   1.9494e+02   7.7624e-01   0.0000e+00   0.0000e+00   6.3425e-03   1.9915e+02
        4506         4265   0.0000e+00   0.0000e+00   0.0000e+00  -1.2748e+01   1.9327e+02  -8.9428e-01   0.0000e+00   0.0000e+00   7.3247e-03   2.0036e+02
        4506         4266   4.5173e+02   0.0000e+00  -5.0000e+02  -1.2748e+01   1.9903e+02   8.5232e-01   0.0000e+00   0.0000e+00   7.2411e-03   2.0531e+02
        4507         4266   0.0000e+00   0.0000e+00   0.0000e+00  -1.6876e+01   1.9726e+02  -9.1726e-01   0.0000e+00   0.0000e+00   7.6289e-03   2.0662e+02
        4507         4267   4.4295e+02   0.0000e+00  -5.0000e+02  -1.6876e+01   2.0336e+02   9.3108e-01   0.0000e+00   0.0000e+00   7.5512e-03   2.1189e+02
        4508         4267   0.0000e+00   0.0000e+00   0.0000e+00  -2.1256e+01   2.0148e+02  -9.4629e-01   0.0000e+00   0.0000e+00   7.4245e-03   2.1331e+02
        4508         4268   4.3416e+02   0.0000e+00  -5.0000e+02  -2.1256e+01   2.0796e+02   1.0161e+00   0.0000e+00   0.0000e+00   7.3375e-03   2.1893e+02
        4509         4268   0.0000e+00   0.0000e+00   0.0000e+00  -2.5910e+01   2.0596e+02  -9.7867e-01   0.0000e+00   0.0000e+00   6.6283e-03   2.2047e+02
        4509         4269   4.2537e+02   0.0000e+00  -5.0000e+02  -2.5910e+01   2.1284e+02   1.1111e+00   0.0000e+00   0.0000e+00   6.5156e-03   2.2646e+02
        4510         4269   0.0000e+00   0.0000e+00   0.0000e+00  -3.0863e+01   2.1072e+02  -1.0117e+00   0.0000e+00   0.0000e+00   5.0008e-03   2.2813e+02
        4510         4270   4.1658e+02   0.0000e+00  -5.0000e+02  -3.0863e+01   2.1805e+02   1.2200e+00   0.0000e+00   0.0000e+00   4.8445e-03   2.3452e+02
        4916         4263   0.0000e+00   0.0000e+00   0.0000e+00  -1.6753e+00   1.8744e+02   6.1906e-01   0.0000e+00   0.0000e+00  -1.7089e-03   1.8798e+02
        4916         5043   4.8689e+02   0.0000e+00  -5.0000e+02  -1.6753e+00   1.8256e+02  -8.8887e-01   0.0000e+00   0.0000e+00  -1.8918e-03   1.8385e+02
        4917         4263   0.0000e+00   0.0000e+00   0.0000e+00  -1.6754e+00   1.8744e+02   6.1840e-01   0.0000e+00   0.0000e+00   1.8140e-03   1.8798e+02
        4917         5043   4.8689e+02   0.0000e+00  -5.0000e+02  -1.6753e+00   1.8256e+02  -8.8833e-01   0.0000e+00   0.0000e+00   1.9940e-03   1.8385e+02
        5023         4270   0.0000e+00   0.0000e+00   1.4013e-45  -3.6142e+01   2.1578e+02  -1.0425e+00   0.0000e+00   0.0000e+00   2.1390e-03   2.3634e+02
        5023         4888   4.0779e+02   0.0000e+00  -5.0000e+02  -3.6142e+01   2.2359e+02   1.3467e+00   0.0000e+00   0.0000e+00   1.9197e-03   2.4316e+02
        5024         4270   0.0000e+00   0.0000e+00   0.0000e+00  -3.6142e+01   2.1578e+02  -1.0433e+00   0.0000e+00   0.0000e+00  -2.0662e-03   2.3634e+02
        5024         4888   4.0779e+02   0.0000e+00  -5.0000e+02  -3.6142e+01   2.2359e+02   1.3473e+00   0.0000e+00   0.0000e+00  -1.8434e-03   2.4316e+02
