     Elem ID      Node ID      R Coord      T Coord      Z Coord           RR           TT           ZZ           RT           TZ           ZR    Von-Mises
         942          917   1.7791e+02   5.0003e-01   0.0000e+00  -8.8477e+01   1.6760e+02  -1.5367e+00   0.0000e+00   0.0000e+00   8.7241e-04   2.2555e+02
         942          918   3.0864e+02   0.0000e+00   1.6102e+02  -8.8477e+01   1.7790e+02   1.5532e+00   0.0000e+00   0.0000e+00   8.7220e-04   2.3470e+02
         943          912   1.5147e+02   1.1089e+02   9.7861e-01  -5.8723e+01   1.3949e+02  -1.0455e+00   0.0000e+00   0.0000e+00   7.4846e-04   1.7659e+02
         943          913   3.5183e+02   0.0000e+00   1.6102e+02  -5.8723e+01   1.4648e+02   1.0512e+00   0.0000e+00   0.0000e+00   7.4932e-04   1.8280e+02
         944          913   1.8280e+02  -1.7183e+01   1.3501e+02  -6.3798e+01   1.4430e+02  -1.1246e+00   0.0000e+00   0.0000e+00   1.0741e-03   1.8491e+02
         944          914   3.4319e+02   0.0000e+00   1.6102e+02  -6.3798e+01   1.5182e+02   1.1323e+00   0.0000e+00   0.0000e+00   1.0747e-03   1.9159e+02
         945          914   1.6886e+02   9.0000e+01  -9.5996e+01  -6.9267e+01   1.4948e+02  -1.2121e+00   0.0000e+00   0.0000e+00   1.2471e-03   1.9389e+02
         945          915   3.3455e+02   0.0000e+00   1.6102e+02  -6.9267e+01   1.5759e+02   1.2218e+00   0.0000e+00   0.0000e+00   1.2475e-03   2.0110e+02
         946          915   3.6677e-04   9.0000e+01   2.3797e+02  -7.5170e+01   1.5506e+02  -1.3090e+00   0.0000e+00   0.0000e+00   1.2607e-03   2.0361e+02
         946          916   3.2591e+02   0.0000e+00   1.6102e+02  -7.5170e+01   1.6382e+02   1.3209e+00   0.0000e+00   0.0000e+00   1.2611e-03   2.1139e+02
         947          916   0.0000e+00   0.0000e+00   1.1210e-42  -8.1555e+01   1.6108e+02  -1.4166e+00   0.0000e+00   0.0000e+00   1.1097e-03   2.1413e+02
         947          917   3.1727e+02   0.0000e+00   1.6102e+02  -8.1555e+01   1.7057e+02   1.4310e+00   0.0000e+00   0.0000e+00   1.1103e-03   2.2256e+02
         948          917   2.5496e-37   0.0000e+00   0.0000e+00  -8.8477e+01   1.6760e+02  -1.5364e+00   0.0000e+00   0.0000e+00   7.9060e-04   2.2555e+02
         948          918   3.0864e+02   0.0000e+00   1.6102e+02  -8.8477e+01   1.7790e+02   1.5537e+00   0.0000e+00   0.0000e+00   7.9160e-04   2.3470e+02
        1090          912   1.8119e-42   0.0000e+00   0.0000e+00  -5.4004e+01   1.4151e+02   9.7809e-01   0.0000e+00   0.0000e+00   3.0759e-04   1.7464e+02
        1091          912   3.6046e+02   0.0000e+00   1.6102e+02  -5.4004e+01   1.4151e+02   9.7761e-01   0.0000e+00   0.0000e+00   2.7967e-04   1.7464e+02
        1134          918   0.0000e+00   0.0000e+00   0.0000e+00  -9.5996e+01   1.7468e+02  -1.6700e+00   0.0000e+00   0.0000e+00   3.0154e-04   2.3797e+02
        1134         1201   3.0000e+02   0.0000e+00   1.6102e+02  -9.5996e+01   1.8588e+02   1.6909e+00   0.0000e+00   0.0000e+00   3.0316e-04   2.4791e+02
        1135          918   0.0000e+00   0.0000e+00   2.6765e-43  -9.5996e+01   1.7468e+02  -1.6705e+00   0.0000e+00   0.0000e+00   3.3398e-04   2.3797e+02
        1135         1201   3.0000e+02   0.0000e+00   1.6102e+02  -9.5996e+01   1.8588e+02   1.6902e+00   0.0000e+00   0.0000e+00   3.3313e-04   2.4791e+02
